,ID,longitude,latitude,pile_num,perimeter,area
0,0,145.04851985,-37.8454884,2,252.8207534805991,4910.23475378903
1,1,145.131922241,-37.9081282824,2,236.16844040172896,4342.9300544147045
2,2,144.9229537,-37.7660288,1,235.9012469380142,4334.572150402267
3,3,145.102327214,-37.70229521,2,235.78205149913623,4330.842598081528
4,4,144.776113513,-37.7519664785,2,235.87491317420051,4333.748240367151
5,5,145.163750069,-37.8349550352,2,236.03060236227822,4338.618849515522
6,6,144.9595931,-37.8158872,1,235.9947705797437,4337.4979819274595
7,7,145.0564007,-37.8288881,1,236.01919765154813,4338.262100949216
8,8,145.190599474,-37.9365950862,2,236.22220691822918,4344.611486805728
9,9,144.925763704,-37.8283249067,2,236.01813913584303,4338.228989394174
10,10,145.245008178,-37.8716251232,3,472.1974879053877,8681.500493820708
11,11,145.2460768,-37.8707029,3,472.1974879053877,8681.500493820708
12,12,145.110689524,-37.6893039047,2,471.51597580910243,8660.179164161289
13,13,145.111462,-37.6895013,2,471.51597580910243,8660.179164161289
14,14,144.9263865,-37.7970088,2,235.9593300226296,4336.389293330154
15,15,144.920987406,-37.7236235654,2,235.8218958021895,4332.089376038052
16,16,145.2798645,-37.7969198,1,235.95916302567974,4336.3840690141205
17,17,144.9790394,-37.8481018,1,236.0553282788066,4339.392275306621
18,18,145.010352201,-37.8127662263,2,235.98890913348052,4337.314622087416
19,19,145.1437916,-37.9280757,1,236.2061075616245,4344.108028114083
20,20,145.165796251,-37.6736976926,2,308.1337665276693,7006.704568352879
21,21,145.166098,-37.673703,2,308.1337665276693,7006.704568352879
22,22,144.969709835,-37.7407540365,2,235.85393012047848,4333.09171585349
23,23,144.970213602,-37.741088379,2,235.85455563409627,4333.111287451791
24,24,145.13310656,-37.9147588465,2,236.18095667891262,4343.321486159581
25,25,145.111186384,-37.8443555319,2,236.04828070946976,4339.171830493658
26,26,145.005075635,-37.7401084915,2,235.85272241750087,4333.053928239632
27,27,145.0685473,-37.7591293,1,235.88832418735893,4334.167837625949
28,28,145.0826588,-37.8861421,1,236.12696899183416,4341.63303301222
29,29,144.992379382,-37.8481433149,2,236.05540638481128,4339.394718413177
30,30,144.924002059,-37.7085048149,2,235.79364730430962,4331.20545297118
31,31,145.1227132,-38.1435406,1,236.61549566682692,4356.906659362215
32,32,145.164989,-37.875897,2,236.10766049899507,4341.029131092307
33,33,145.009703641,-37.8132086685,4,558.1865014294133,11319.412837848275
34,34,145.011718201,-37.8126589681,4,558.1865014294133,11319.412837848275
35,35,145.011734294,-37.8129556272,4,558.1865014294133,11319.412837848275
36,36,145.030600394,-37.767083915,2,235.90322357872398,4334.633992658173
37,37,145.0436879,-37.8760732,1,236.1079924880017,4341.039514693156
38,38,144.935202959,-37.8224143844,2,236.00703226652504,4337.881551160565
39,39,145.159594,-37.9058135,1,236.16407189631394,4342.793432862158
40,40,144.885526826,-37.7136505213,2,235.80325924491305,4331.506224175782
41,41,144.831557706,-37.8634220749,2,236.08416354540455,4340.294205347011
42,42,145.231898,-37.986473,1,236.31660720376726,4347.563327283729
43,43,145.070935,-37.678694,2,235.7380130215286,4329.464492444514
44,44,144.981272,-37.8543276,2,236.06704346180095,4339.758715837943
45,45,145.124083208,-37.821678049,2,236.00564881014515,4337.83827433482
46,46,145.250265719,-38.1069359,2,236.54561930670388,4354.722677137997
47,47,144.99889245,-37.8178352208,2,235.99842960769138,4337.612444120612
48,48,144.9982549,-37.8181912,1,235.9990982954458,4337.633362024867
49,49,145.073026,-37.7018751,2,235.7812671222812,4330.818053194454
50,50,145.13498137,-37.9121995629,2,236.1761250968246,4343.17038502594
51,51,144.96951826,-37.7024739201,2,235.78238516902013,4330.853039328431
52,52,144.9712506,-37.8177027,1,235.99818067883223,4337.604657113565
53,53,145.1240907,-37.7878712,1,235.94218852404913,4335.853033954331
54,54,144.9147733,-37.6163148,1,235.6218787156138,4325.829839489713
55,55,145.18007156,-37.9528594835,2,236.25296223885655,4345.573232860485
56,56,145.050275364,-37.9369555582,2,236.22288827295995,4344.632793851001
57,57,145.104433007,-37.8540197685,2,236.06646412050262,4339.740594700254
58,58,145.1398749,-37.9209923,1,236.1927273086794,4343.689591963741
59,59,144.961926,-37.773814,1,235.91583421365203,4335.0285316020545
60,60,144.9620273,-37.77148,1,235.91146032988897,4334.891690203751
61,61,144.769309537,-37.8654587772,2,236.08799869525922,4340.414160962865
62,62,144.90470618,-37.8631194809,2,236.083593789013,4340.276384453626
63,63,145.017694096,-37.9593821797,2,236.2653037628996,4345.959150839219
64,64,145.022761816,-37.8808635251,2,236.11701939838088,4341.321846808496
65,65,144.96149892,-37.7189034744,2,235.81307418705364,4331.81334311659
66,66,144.893570264,-38.461879207,2,237.22888127762775,4376.068322872701
67,67,145.1417052,-37.7234884,2,471.6422314849135,8664.129935422961
68,68,145.14234893,-37.7229240644,2,471.6422314849135,8664.129935422961
