,type,longitude,latitude
8488,pub,4.8896419,52.3719973
8489,cafe,4.901054,52.378243
8490,drinking_water,4.865223,52.3750359
8491,other,4.9002365,52.3751963
8492,other,4.8881693,52.3636183
8493,restaurant,4.9031106,52.3831385
8494,cinema,4.8672486,52.3636724
8495,other,4.9404436,52.359178
8496,other,4.8471672,52.3862441
8497,other,4.8475448,52.3801081
8498,other,4.8501426,52.3809429
8499,other,4.8501707,52.3806387
8500,other,4.9092679,52.337452
8501,other,4.9088094,52.3349471
8502,cafe,4.9163971,52.368084
8503,atm,4.8778561,52.3916371
8504,post_box,4.9376967,52.3763776
8505,atm,4.8990976,52.3788574
8506,recycling,4.9382751,52.3770365
8507,other,4.8963954,52.3784464
8508,other,4.9006207,52.3300853
8509,restaurant,4.8804516,52.3557575
8510,restaurant,4.8803931,52.3560295
8511,toilets,4.8746495,52.3857554
8512,boat_rental,4.8742952,52.3857142
8513,other,4.8771248,52.3885664
8514,post_box,4.8747671,52.3896501
8515,recycling,4.8746349,52.3897729
8516,other,4.8752907,52.3900077
8517,other,4.8531144,52.331604
8518,other,4.8572486,52.3258961
8519,dentist,4.8572632,52.3237853
8520,post_box,4.8794782,52.3892109
8521,recycling,4.8795073,52.3891796
8522,post_box,4.883664,52.3877176
8523,other,4.898739,52.3789842
8524,restaurant,4.8746776,52.3261016
8525,childcare,4.8754447,52.3252312
8526,childcare,4.8587437,52.3223248
8527,post_box,4.8593559,52.3459447
8528,other,4.8593066,52.3504903
8529,school,4.8632076,52.351541
8530,doctors,4.8756993,52.3548255
8531,other,4.8873762,52.3618469
8532,other,4.887425,52.3619096
8533,pub,4.8872903,52.3617305
8534,restaurant,4.8891462,52.3640505
8535,other,4.889612,52.3639765
8536,other,4.9484989,52.3476114
8537,other,4.9486035,52.3475442
8538,other,4.9482548,52.3477605
8539,other,4.9481529,52.3478277
8540,bbq,4.9485479,52.3475787
8541,other,4.9475574,52.3482029
8542,other,4.9476491,52.3481471
8543,bbq,4.9476084,52.3481747
8544,other,4.8888217,52.3667662
8545,other,4.8895293,52.3670298
8546,other,4.8899868,52.3669045
8547,other,4.8899331,52.3669284
8548,fast_food,4.8901057,52.3668846
8549,restaurant,4.8902457,52.3668568
8550,restaurant,4.8904656,52.36682
8551,restaurant,4.8729737,52.3373924
8552,other,4.9177744,52.3614654
8553,other,4.9330944,52.3433766
8554,other,4.7568879,52.3613638
8555,other,4.8096798,52.3317353
8556,other,4.8095993,52.3320073
8557,other,4.8153043,52.3350426
8558,restaurant,4.8830301,52.3524917
8559,other,4.8813928,52.3537421
8560,post_box,4.8817085,52.3493683
8561,restaurant,4.912559,52.3665845
8562,bicycle_parking,4.8687466,52.3667673
8563,other,4.8685776,52.3666068
8564,other,4.891808,52.3680055
8565,other,4.8912029,52.3699119
8566,restaurant,4.8920349,52.3666156
8567,other,4.8919193,52.3666393
8568,restaurant,4.8930568,52.3665599
8569,cafe,4.8891555,52.3573711
8570,other,4.8900292,52.3551021
8571,cafe,4.8949199,52.3668283
8572,bench,5.0177426,52.304947
8573,waste_basket,4.9463182,52.3632877
8574,waste_basket,4.9463276,52.3633081
8575,bench,4.943864,52.3584109
8576,recycling,4.9449432,52.3588932
8577,recycling,4.9449512,52.3589226
8578,recycling,4.9408999,52.3591759
8579,recycling,4.9410045,52.3591251
8580,recycling,4.9409616,52.3591185
8581,recycling,4.9409455,52.3591825
8582,recycling,4.9409991,52.359189
8583,recycling,4.9409052,52.3591104
8584,charging_station,4.9753337,52.2946833
8585,charging_station,4.9006565,52.3730776
8586,charging_station,4.8959716,52.3721958
8587,charging_station,4.8966234,52.3722237
8588,charging_station,4.8951267,52.369384
8589,charging_station,4.900293,52.365789
8590,charging_station,4.904236,52.3665438
8591,charging_station,4.8995319,52.3715091
8592,charging_station,4.9384398,52.3765763
8593,charging_station,4.9775503,52.362523
8594,charging_station,4.9382627,52.3771608
8595,charging_station,4.9311196,52.3754715
8596,charging_station,4.9808506,52.3624855
8597,pub,4.8762485,52.3426977
8598,other,4.876601,52.3467278
8599,charging_station,4.876674,52.3464445
8600,post_box,4.8783164,52.3503354
8601,other,4.8800958,52.3556109
8602,charging_station,4.8834591,52.3557159
8603,other,4.8813756,52.356536
8604,recycling,4.8839905,52.3556244
8605,vending_machine,4.9030067,52.3606578
8606,vending_machine,4.9004376,52.3612361
8607,parking,4.8894817,52.3224338
8608,other,4.8866188,52.3645605
8609,other,4.8863941,52.3647195
8610,restaurant,4.888799,52.3633111
8611,bicycle_rental,4.888292,52.3637228
8612,other,4.8884492,52.3636341
8613,other,4.888551,52.3635629
8614,other,4.8892539,52.3632576
8615,other,4.8892767,52.3633723
8616,other,4.8927677,52.365646
8617,other,4.8897922,52.3631795
8618,theatre,4.8897058,52.3631979
8619,other,4.8910286,52.3631345
