,type,longitude,latitude
21773,other,-46.70428293642151,-23.53369246683352
21774,fuel,-46.59161762482498,-23.484418291666483
21775,fuel,-46.58590637276582,-23.49591940279877
21776,fuel,-46.59112248266326,-23.50296797737252
21777,fuel,-46.59274583325552,-23.509195031490183
21778,fuel,-46.5928500013059,-23.52267838825497
21779,fuel,-46.59294517361707,-23.522049084944047
21780,fuel,-46.7332472,-23.53477825
21781,fast_food,-46.73350546636617,-23.534506449879785
21782,fuel,-46.7273342,-23.5415877
21783,fuel,-46.71757,-23.54551835
21784,other,-46.71717773924283,-23.54555134554082
21785,fuel,-46.71350784201739,-23.53544456426392
21786,fuel,-46.51463868202536,-23.49640875507814
21787,fuel,-46.51278834932161,-23.49653250832634
21788,fuel,-46.4966279527407,-23.509158427221376
21789,fuel,-46.6673242001096,-23.507091204752445
21790,fuel,-46.65424861118631,-23.51379066830638
21791,other,-46.6633808818631,-23.51346007072455
21792,other,-46.657637746751085,-23.51096389564725
21793,pharmacy,-46.65957615629517,-23.512029810029656
21794,other,-46.65494431225113,-23.51469999553185
21795,other,-46.65685292106591,-23.515367497303995
21796,fuel,-46.66595217781087,-23.50840813888992
21797,other,-46.66365414617144,-23.507690985803453
21798,other,-46.6634221,-23.5081619
21799,other,-46.66379998988687,-23.514413802714326
21800,other,-46.661462981975326,-23.509091621214253
21801,fuel,-46.62638883729044,-23.50857174206565
21802,fuel,-46.62732758122736,-23.50915092232632
21803,fuel,-46.624101711757135,-23.506451437174665
21804,fuel,-46.621123985647024,-23.504028589717628
21805,other,-46.62842853754778,-23.496927892404003
21806,other,-46.62737713083106,-23.494371692928343
21807,other,-46.61979175386053,-23.496369878889134
21808,hospital,-46.56638660589024,-23.533123879154942
21809,fuel,-46.62914267081336,-23.624507887199304
21810,fuel,-46.62844081204346,-23.624823708621083
21811,fuel,-46.6402002467332,-23.62143081473007
21812,music_venue,-46.6680742218058,-23.52812094685852
21813,other,-46.672474150000006,-23.556740450000007
21814,other,-46.67307291176629,-23.5564920125804
21815,fuel,-46.67065458731491,-23.507008130458672
21816,fuel,-46.67028034416506,-23.509997631346447
21817,fuel,-46.51786815024614,-23.536799224848668
21818,fuel,-46.55489817387995,-23.536535068421845
21819,fuel,-46.49336495228841,-23.52426754252156
21820,fuel,-46.51455345,-23.51260795
21821,fuel,-46.5129870263297,-23.52307681965433
21822,fuel,-46.511677,-23.52341975
21823,fuel,-46.50643283497293,-23.52444844923673
21824,fuel,-46.50433081500304,-23.52596650901062
21825,fuel,-46.500629704045046,-23.52750414695126
21826,other,-46.58360221116712,-23.51155480608753
21827,other,-46.5861627,-23.50887603333333
21828,other,-46.58718926666667,-23.507500633333333
21829,other,-46.5870399,-23.5078001
21830,other,-46.58648087216654,-23.5084924015188
21831,other,-46.58055499686205,-23.512658624243286
21832,other,-46.58166766666667,-23.512110366666665
21833,fuel,-46.635649614977794,-23.61819044875842
21834,fuel,-46.63257558676306,-23.620987719245957
21835,other,-46.63648653756715,-23.604206008451516
21836,fuel,-46.65223941485215,-23.583293493155832
21837,fuel,-46.6516784771675,-23.58283545717869
21838,fuel,-46.5865687,-23.584868649999997
21839,fuel,-46.58474169968232,-23.5863031600026
21840,fuel,-46.577947970300215,-23.584640882984697
21841,fuel,-46.690403906205695,-23.718609309915667
21842,fuel,-46.689083533789,-23.72172283145077
21843,fuel,-46.69910742157425,-23.71898972722617
21844,fuel,-46.69878335778486,-23.723993379056356
21845,other,-46.69823373656352,-23.72398031754466
21846,fuel,-46.67251079661618,-23.63887940994273
21847,fuel,-46.672030165898725,-23.638460196411472
21848,fuel,-46.65907097597385,-23.61492870683377
21849,fuel,-46.65863140679099,-23.61456687301776
21850,fuel,-46.65794307084453,-23.613695975282525
21851,fuel,-46.65759532859615,-23.61269022828529
21852,fuel,-46.65717709302654,-23.612168468886438
21853,fuel,-46.655609443087535,-23.6112711116796
21854,fuel,-46.65539915,-23.610137450000003
21855,fuel,-46.6530005858693,-23.606511164569223
21856,fuel,-46.663743914216674,-23.609810528459263
21857,fuel,-46.66837234656386,-23.614427446074004
21858,fuel,-46.6664985845388,-23.61550843418583
21859,other,-46.66570199046918,-23.615720693927443
21860,place_of_worship,-46.6247309721744,-23.580975333562822
21861,other,-46.638930507577264,-23.59593387939471
21862,other,-46.63929714999999,-23.5954628
21863,other,-46.63938864999999,-23.59575895
21864,other,-46.639470200000005,-23.59545235
21865,fuel,-46.595246457152896,-23.498299399308333
21866,fuel,-46.60096385,-23.4997564
21867,fuel,-46.595793521523255,-23.49066053592992
21868,fuel,-46.59751974428314,-23.477535923605227
21869,fuel,-46.59281956509956,-23.474948878953285
21870,other,-46.59192819505995,-23.47488512500644
21871,other,-46.5933449083877,-23.475322654595576
21872,fuel,-46.588818664811285,-23.47345195905239
21873,fuel,-46.5873978633007,-23.471561208352533
21874,fuel,-46.584263440243184,-23.467419574752327
21875,bank,-46.58419236037454,-23.46665884776318
21876,fast_food,-46.583800032643296,-23.46742551091268
21877,fuel,-46.59419716899088,-23.45663513580761
21878,fuel,-46.59510375465679,-23.456722687699063
21879,fuel,-46.60269497892655,-23.45740780706083
21880,fuel,-46.60254370979969,-23.45863044428465
21881,fuel,-46.604012345086,-23.46933527176597
21882,other,-46.61035230000001,-23.477477566666664
21883,fuel,-46.66075752252424,-23.53063432972432
21884,other,-46.66120920559093,-23.530497591647663
21885,fuel,-46.660183869476334,-23.530440323096776
21886,fuel,-46.65936381095644,-23.531635754014463
21887,fuel,-46.691310304739496,-23.545772901459863
21888,fuel,-46.69371138881091,-23.544599729613655
21889,other,-46.69534718362544,-23.54056704870054
21890,other,-46.694874218000656,-23.537497587289984
21891,other,-46.693916572919086,-23.53746990233017
21892,fuel,-46.69086594830399,-23.53805503268817
21893,fuel,-46.70604084068884,-23.539523266798792
21894,other,-46.71043502501854,-23.53010513759118
21895,fuel,-46.6913289477075,-23.654926477102936
21896,fast_food,-46.69164223297767,-23.655195380375076
21897,fuel,-46.69211702370092,-23.65543109631911
21898,fuel,-46.69427321520301,-23.65624981955987
21899,fast_food,-46.69429074335713,-23.655872804947933
21900,fast_food,-46.69457214999999,-23.656059600000003
21901,fuel,-46.70112881423835,-23.65949328301041
21902,fuel,-46.70458615,-23.6603674
21903,fuel,-46.70618876740296,-23.666217800543613
21904,fuel,-46.71461887843144,-23.66614756250686
21905,fuel,-46.71477285116219,-23.66580014179896
21906,fuel,-46.717766044390814,-23.6660810955032
21907,fuel,-46.71785969688151,-23.6664857862648
21908,fuel,-46.7354052854067,-23.669499833510347
21909,fuel,-46.75228730211445,-23.67602582275154
21910,fuel,-46.75779511705404,-23.67628080658252
21911,fuel,-46.6357146,-23.682985050000003
21912,other,-46.60885600742629,-23.57698994337334
21913,fuel,-46.62977453214873,-23.533307859276302
21914,school,-46.75280783323085,-23.67446164251612
21915,fuel,-46.65350451058362,-23.534688564310404
21916,fuel,-46.7057108,-23.5276601
21917,fuel,-46.70583262720011,-23.524647343957263
21918,fuel,-46.7371300602701,-23.52396278434261
21919,fuel,-46.73470896226514,-23.522249599654963
21920,fuel,-46.7322699799818,-23.521227784840807
21921,fuel,-46.65004192673135,-23.55644438596962
21922,fuel,-46.61639553500209,-23.45808891483741
21923,fuel,-46.62054447604282,-23.460048149757352
21924,fuel,-46.62228198694035,-23.46054467741723
21925,fuel,-46.629152309502935,-23.46200469993189
21926,fuel,-46.63077258677447,-23.468769152779117
21927,fuel,-46.62963081494546,-23.47126248236652
21928,fuel,-46.64164246731236,-23.476571044300577
21929,fuel,-46.650647866979895,-23.47927879717163
21930,fuel,-46.64415023383465,-23.52570553750973
21931,fuel,-46.656121428128536,-23.519432376866657
21932,fuel,-46.68588790289191,-23.52344203615206
21933,fuel,-46.69786062210378,-23.52190387144359
21934,fuel,-46.49016339227806,-23.5586959598914
21935,fuel,-46.49302828839328,-23.552587591395035
21936,fuel,-46.49363142424971,-23.551381940320752
21937,fuel,-46.503822092110745,-23.546438117247764
21938,fuel,-46.5146229771518,-23.53931396844765
21939,fuel,-46.50247467725016,-23.549196369445426
21940,fuel,-46.50824886493248,-23.549919244115813
21941,fuel,-46.50871068723658,-23.549976404410547
21942,fuel,-46.517376442127656,-23.55563926118944
21943,fuel,-46.514747500000006,-23.55889855
21944,fuel,-46.52099232539347,-23.55881384287005
21945,fuel,-46.52138659999999,-23.5585142
21946,fuel,-46.51933039311422,-23.55688621302401
21947,fuel,-46.5285375783665,-23.55226941835991
21948,fuel,-46.53307879399582,-23.5508069139002
21949,fuel,-46.52959618329142,-23.544144366686236
21950,fuel,-46.53192459905292,-23.538816189972493
21951,other,-46.5343763,-23.5441168
21952,fuel,-46.54162722462145,-23.541198548152035
21953,fuel,-46.53569701931798,-23.54921908727472
21954,fuel,-46.54527959014311,-23.54527019037244
21955,fuel,-46.54848696364986,-23.54239753339664
21956,other,-46.71067879671592,-23.462167572453232
21957,other,-46.71102958738265,-23.462167563862536
21958,other,-46.7115300952327,-23.461990235275252
21959,other,-46.71178021311492,-23.46206122332032
21960,other,-46.71201315448576,-23.462081604948125
21961,fuel,-46.65616825,-23.50397245
21962,fuel,-46.66108313585811,-23.503589999567108
21963,fuel,-46.6623113,-23.5047979
21964,fuel,-46.67057265259453,-23.604918523851484
21965,fuel,-46.53037236979326,-23.543213264962933
21966,fuel,-46.53509322035543,-23.54212767654521
21967,other,-46.53683628161329,-23.543115623070957
21968,fuel,-46.53977881929308,-23.541314590628087
21969,fuel,-46.52606861709114,-23.54846098225598
21970,other,-46.525264644128704,-23.549324429107934
21971,fuel,-46.520433108612906,-23.55256770169099
21972,fast_food,-46.51080127301096,-23.56250838876578
21973,fuel,-46.5094908900922,-23.563357872803763
21974,fuel,-46.50211129171099,-23.576867568441735
21975,fuel,-46.49626910146764,-23.57835637661288
21976,fuel,-46.50381467146414,-23.572202078713115
21977,fuel,-46.512720624812815,-23.559380680033595
21978,fuel,-46.77037714084167,-23.665097035212806
21979,fuel,-46.70144578236752,-23.644013076827875
21980,fuel,-46.69875729999999,-23.64061145
21981,fuel,-46.69205415,-23.6329935
21982,fuel,-46.68422031605892,-23.62132431307439
21983,car_wash,-46.679199100000005,-23.615030350000005
21984,fuel,-46.67836589114522,-23.612644081113423
21985,fuel,-46.67752117759095,-23.61066909398301
21986,other,-46.677413585889845,-23.61045000820296
21987,fuel,-46.674657002807066,-23.60393011028082
21988,fuel,-46.67504329658008,-23.603875316683965
21989,fuel,-46.67414350876426,-23.602427853994485
21990,fuel,-46.673661765162855,-23.597726433213985
21991,fuel,-46.67338096385117,-23.59535825075485
21992,fuel,-46.67250318171139,-23.58990998209388
21993,other,-46.67044213333334,-23.580813366666668
21994,fuel,-46.52154480000001,-23.6026455
21995,fuel,-46.5245734,-23.6017075
21996,fuel,-46.536809247015775,-23.596703301312456
21997,fuel,-46.54179639236698,-23.59155765848
21998,fuel,-46.547437287881245,-23.58573274620246
21999,fast_food,-46.61761803723025,-23.584825007406494
22000,fuel,-46.62627915234975,-23.60408597740304
22001,fuel,-46.56497599706335,-23.489711876235614
22002,fuel,-46.57808219125842,-23.486700726262804
22003,fuel,-46.58332875860878,-23.47847364493139
22004,fuel,-46.57849997328415,-23.49168166287481
22005,fuel,-46.581123757233584,-23.528221244168734
22006,fuel,-46.60043426676991,-23.535033761715987
22007,fuel,-46.61808927441466,-23.528000159098443
22008,fuel,-46.603646891558256,-23.534668848418185
22009,fuel,-46.6086253975636,-23.550961502233584
22010,fuel,-46.60676004065571,-23.550735144621385
22011,other,-46.60877691388293,-23.55210525010719
22012,fuel,-46.61512250066402,-23.553952578399844
22013,school,-46.73595811156468,-23.58141156515033
22014,fuel,-46.62255145726327,-23.499293992316343
22015,fuel,-46.62193467312303,-23.56756791166261
22016,other,-46.62060870461435,-23.579512727465115
22017,fuel,-46.62409517363251,-23.57986485135425
22018,other,-46.62664515519934,-23.58207626433516
22019,other,-46.65825028045992,-23.55716434673263
22020,school,-46.6593585565923,-23.52152182262474
22021,other,-46.42626521737724,-23.525792427979287
22022,fuel,-46.41842375527744,-23.521666836315728
22023,other,-46.417982266070936,-23.527582362802946
22024,other,-46.41088465560991,-23.526948115283904
22025,other,-46.42280355472416,-23.53664240178257
22026,other,-46.42267364999999,-23.5388328
22027,other,-46.42251965,-23.538996750000003
22028,other,-46.42242811592522,-23.539100298018155
22029,other,-46.4236626,-23.5382091
22030,other,-46.4238703,-23.5379784
22031,other,-46.424475691399394,-23.53729661494495
22032,other,-46.42356141280016,-23.51880048927616
22033,bank,-46.43272851083023,-23.495460331696187
22034,other,-46.43795377731752,-23.496667750849173
22035,other,-46.66006745423857,-23.542344295002124
22036,bank,-46.665077435562,-23.54305255726192
22037,parking,-46.663071110184994,-23.54220940817496
22038,other,-46.664930678609885,-23.54381387599319
22039,other,-46.6595202033595,-23.550042168801163
22040,other,-46.67051640459488,-23.582966529521656
22041,fuel,-46.56059205,-23.53765505
22042,fuel,-46.53985554039873,-23.541640070235157
22043,fuel,-46.73340677021153,-23.508039373496047
22044,fuel,-46.6811741,-23.619793
22045,fuel,-46.69436795417459,-23.59997955526745
22046,other,-46.72575802900288,-23.587847495571857
22047,fuel,-46.73186514858452,-23.5923985393758
22048,fuel,-46.72794731659625,-23.588709349928823
22049,fuel,-46.7276211,-23.58856165
22050,fuel,-46.74942577877579,-23.606889014243343
22051,place_of_worship,-46.37963742937117,-23.4933455427432
22052,fuel,-46.54214362487045,-23.51452899807187
22053,fuel,-46.71715248364007,-23.657044023060266
22054,fuel,-46.73324945163174,-23.64331352036443
22055,fuel,-46.73694777730503,-23.63851339424756
22056,fuel,-46.66248819410042,-23.544472755969544
22057,parking,-46.647334881792936,-23.55008136495594
22058,other,-46.6615467421793,-23.554200362541994
22059,bank,-46.66327138126992,-23.554313668129016
22060,parking,-46.66225504943615,-23.55311325823484
22061,fuel,-46.74079178014282,-23.552308769406853
22062,fuel,-46.74019398738073,-23.55152388650428
22063,fuel,-46.74567032460583,-23.558071024788628
22064,fuel,-46.743409330732185,-23.566466860150324
22065,dentist,-46.660729709216405,-23.55118038317457
22066,school,-46.65971120330195,-23.54898391460513
22067,bank,-46.65987992290937,-23.54932597146426
22068,parking,-46.66675390184759,-23.555501841440613
22069,fuel,-46.70283227895388,-23.52392598023782
22070,pharmacy,-46.70319163965944,-23.52391708665046
22071,fuel,-46.69942832096374,-23.514542961360657
22072,other,-46.70192413425736,-23.535888135773117
22073,other,-46.7017619474176,-23.53612534989174
22074,fuel,-46.70471915486354,-23.5280706787519
22075,pharmacy,-46.70461430049093,-23.528137834182417
22076,fuel,-46.69807194296258,-23.51634209470384
22077,fast_food,-46.65632215139898,-23.542188321743765
22078,bank,-46.65664799646392,-23.54287236677935
22079,pharmacy,-46.65631667093033,-23.542076277968267
22080,school,-46.66038512818055,-23.54057187819612
22081,bank,-46.65638591180894,-23.54164510747648
22082,fast_food,-46.661277715279,-23.539604205678074
22083,fuel,-46.66117742752266,-23.539272786425855
22084,fuel,-46.65717319084759,-23.544199635145404
22085,fuel,-46.60527578452536,-23.64337079744992
22086,fuel,-46.62053559534005,-23.543960323925283
22087,fuel,-46.596117923339285,-23.643864077590667
22088,fuel,-46.6026867,-23.65459265
22089,fuel,-46.60154346016913,-23.61913547437996
22090,fuel,-46.6052029,-23.6144217
22091,fuel,-46.60877524832058,-23.616008494063
22092,fuel,-46.609455800000006,-23.61867305
22093,fuel,-46.6025489215259,-23.62100882216349
22094,fuel,-46.73645940334653,-23.62618247084773
22095,fuel,-46.74350933746286,-23.608806915483427
22096,fuel,-46.745951943092855,-23.59625611682035
22097,school,-46.65098514118,-23.544395608779897
22098,fuel,-46.742245735098514,-23.61506769817218
22099,fuel,-46.741127447446246,-23.61241062163488
22100,fuel,-46.742284487591256,-23.613461303947076
22101,fuel,-46.61425351591676,-23.65588494031405
22102,police,-46.613783160062816,-23.656540664880705
22103,fuel,-46.7096718414196,-23.55452720088658
22104,fast_food,-46.70761598562344,-23.55347685123458
22105,other,-46.70871897901248,-23.552555519499137
22106,fuel,-46.71208653577203,-23.563537790520897
22107,fuel,-46.73176091897949,-23.587274817859107
22108,fuel,-46.75274646401836,-23.50338683237936
22109,fuel,-46.70288457999752,-23.525935919884724
22110,fuel,-46.732336184956175,-23.53590824712983
22111,other,-46.73440025679045,-23.53411777616442
22112,fuel,-46.74232808303202,-23.593685276852604
22113,bank,-46.60754219157707,-23.51412360445856
22114,other,-46.61038751191712,-23.51968023556464
22115,other,-46.61031078866189,-23.521872162509503
22116,other,-46.65400485000001,-23.624525649999995
22117,parking,-46.65232690715076,-23.62699849967511
22118,parking,-46.66121570366049,-23.622785997053334
22119,parking,-46.65484445687369,-23.6334780091298
22120,parking,-46.65955518479276,-23.632162878356137
22121,parking,-46.65385860036551,-23.634828487095177
22122,courthouse,-46.65343793497699,-23.549107219593743
22123,fountain,-46.66275825838968,-23.61961820281146
22124,other,-46.66275473896715,-23.619618820443893
22125,other,-46.66000644845963,-23.627050203468325
22126,other,-46.6603109081997,-23.626554774733197
22127,other,-46.66064995831026,-23.626725510161407
22128,ranger_station,-46.74241827274084,-23.98608450927056
22129,parking,-46.64861966653883,-23.54491359530209
22130,school,-46.75178749422804,-23.406288294512343
22131,fuel,-46.75290341217092,-23.520108807946613
22132,other,-46.75321006419039,-23.519852576620632
22133,fuel,-46.72141060270393,-23.513936950773772
22134,bank,-46.72181005088394,-23.51416949131631
22135,place_of_worship,-46.65836768970501,-23.54430799433833
22136,fuel,-46.7279176,-23.5103682
22137,fuel,-46.73255620153984,-23.509226286732368
22138,fuel,-46.708963200198255,-23.50715183595456
22139,other,-46.70999865,-23.506912
22140,fuel,-46.68558888172575,-23.49302980452897
22141,fuel,-46.72748469999999,-23.634943
22142,fuel,-46.72870064999999,-23.63357625
22143,school,-46.742210799006685,-23.69306100889472
