,ID,longitude,latitude,pile_num,perimeter,area
0,0,-118.34334941099999,33.83838206585,2,615.7606476582698,29668.50053948194
1,1,-118.32614,33.918377,1,603.4134509117081,28577.351072692985
2,2,-118.493610172,34.01418221005,6,851.1159318735671,52911.99311186584
3,3,-118.378278112,34.092759575849996,2,649.9937693164952,33254.17567292307
4,4,-118.2772156,34.0200103,1,603.8244467493827,28611.523725853232
5,5,-118.28066115,34.02289435,2,770.0693833273538,42729.36525667221
6,6,-118.206220213,34.0610758354,1,603.9911286894747,28625.38014949521
7,7,-118.402829535,33.9192350421,1,603.4169116777147,28577.638858258873
8,8,-118.5340728945,34.23616670945,2,610.5798458826738,29293.651686142985
9,9,-118.352077549,33.8602529379,1,603.1793762444881,28557.884760864094
10,10,-118.64290589000001,34.16920145985,2,621.0330048094029,30389.665489508516
11,11,-118.4972715025,34.15852010725,2,687.0287045279453,37113.92689691685
12,12,-118.315243763,33.837475638,1,603.0878411366223,28550.27166257093
13,13,-118.49533401,34.15833275919999,4,653.705746626308,33581.04984552019
14,14,-118.34423852,33.8602834171,1,603.1794988035118,28557.894953957053
15,15,-118.353367231,33.80453687255,2,607.5945354448695,28948.120078286454
16,16,-118.60715588625001,34.185246690275,4,806.4171418408155,47225.00717741619
17,17,-118.30688219199999,33.7979134788,2,717.4945932975187,38292.822907821406
18,18,-118.30850579,33.8175870871,1,603.0080035954516,28543.63110849708
19,19,-118.388084,33.845737,1,603.1210285396661,28553.031954264177
20,20,-118.3766521,33.8725285,1,603.2287529777868,28561.991308233948
21,21,-118.3883282665,33.8447489771,2,641.0042601201981,32434.347423515926
22,22,-118.34228475,33.94726225,4,1002.4964929732433,67588.69727670959
23,23,-118.19325635759999,33.76752316404,5,696.034433839684,38146.44168525572
24,24,-118.464959945,33.9913023097,1,603.7081342053502,28601.85369907763
25,25,-118.357427437,33.8064580907,1,602.9633650539025,28539.918114971155
26,26,-118.39670479,33.920673977,1,603.4227157255243,28578.121501890182
27,27,-118.466179681,34.235201235,1,604.7018552386135,28684.447292687797
28,28,-118.299452029,33.8912360428,1,603.304062052591,28568.254342118507
29,29,-118.33300044,33.7915296929,1,602.903527590924,28534.94072515639
30,30,-118.386431763,33.8183423951,1,603.011034080677,28543.883177719814
31,31,-118.37719403433333,33.88946835016667,3,724.6125420697668,40884.71154482134
32,32,-118.24527,34.047596,1,603.9363758289597,28620.82865324153
33,33,-118.25518956366666,34.04048456976667,3,748.9677901498247,42779.98467747579
34,34,-118.25147832133332,34.052568752700004,6,642.0357997346631,32186.644618369126
35,35,-118.42972369,34.0658022526,1,604.0103356976415,28626.97675290071
36,36,-118.430839391,34.0664628049,1,604.0130203972002,28627.199919947587
37,37,-118.335374712,33.8716949941,1,603.225399319461,28561.71239634028
38,38,-118.41391900466668,34.05963813133333,3,656.7246502313179,33290.076592917925
39,39,-118.41430260700001,34.0586080265,3,710.5409282694574,38561.291174632504
40,40,-118.60411325900002,34.1909068011625,17,1329.3750065522852,69705.30620201066
41,41,-118.6041498,34.1888906,2,1209.0327039557087,57338.06599025511
42,42,-118.164574025,33.8969517796,1,603.3270859262933,28570.16904959271
43,43,-118.501466196,34.229026723,1,604.6765426525121,28682.344061571388
44,44,-118.4079995,33.9806003,1,603.6648186000382,28598.25233319432
45,45,-118.198362835,33.769091433,2,610.474835330804,29324.966035593974
46,46,-118.37918,33.908173,1,603.3723066331789,28573.929605554775
